GeneSym	EnsembleID	GO_anno
ACTR3C	ENSP00000252071	extracellular region part
ACYP1	ENSP00000238618	extracellular region part
VPS13D	ENSP00000350854	extracellular region part
XYLB	ENSP00000207870	extracellular region part
AKR7L	ENSP00000411913	extracellular region part
ARMC3	ENSP00000298032	extracellular region part
ARMC9	ENSP00000258417	extracellular region part
BOLA2	ENSP00000331127	extracellular region part
BOLA2B	ENSP00000306752	extracellular region part
BPGM	ENSP00000342032	extracellular region part
BPIFA2	ENSP00000253362	extracellular region part
BPIFB2	ENSP00000170150	extracellular region part
C11ORF52	ENSP00000278601	extracellular region part
C1ORF123	ENSP00000294360	extracellular region part
CCDC105	ENSP00000292574	extracellular region part
COMMD7	ENSP00000278980	extracellular region part
CPNE1	ENSP00000317257	extracellular region part
CPNE2	ENSP00000290776	extracellular region part
BTG2	ENSP00000290551	extracellular region part
FAM63A	ENSP00000354814	extracellular region part
CRISPLD1	ENSP00000262207	extracellular region part
EDIL3	ENSP00000296591	extracellular region part
C20ORF195	ENSP00000359115	extracellular region part
HPCAL1	ENSP00000310749	extracellular region part
CPVL	ENSP00000265394	extracellular region part
IGLL5	ENSP00000395044	extracellular region part
IQCG	ENSP00000265239	extracellular region part
ISLR	ENSP00000249842	extracellular region part
JMJD8	ENSP00000399475	extracellular region part
CPNE7	ENSP00000268720	extracellular region part
MST1	ENSP00000308226	extracellular region part
MUM1L1	ENSP00000349699	extracellular region part
CPNE8	ENSP00000329748	extracellular region part
NHLRC3	ENSP00000368920	extracellular region part
PLAA	ENSP00000380460	extracellular region part
ITIH3	ENSP00000415769	extracellular region part
NXPE4	ENSP00000364627	extracellular region part
OAF	ENSP00000332613	extracellular region part
PM20D1	ENSP00000356104	extracellular region part
MBLAC2	ENSP00000314776	extracellular region part
MB	ENSP00000352835	extracellular region part
MYLK4	ENSP00000274643	extracellular region part
MASP2	ENSP00000383690	extracellular region part
COBLL1	ENSP00000194871	extracellular region part
CPNE4	ENSP00000350649	extracellular region part
CCDC25	ENSP00000348933	extracellular region part
CCDC30	ENSP00000339280	extracellular region part
PCOLCE2	ENSP00000295992	extracellular region part
C1ORF68	ENSP00000354769	extracellular region part
VPS13C	ENSP00000261517	extracellular region part
VMO1	ENSP00000328397	extracellular region part
EPX	ENSP00000225371	extracellular region part
UFSP1	ENSP00000373413	extracellular region part
UFC1	ENSP00000356982	extracellular region part
